============================================================
PPO Training Summary
============================================================

Training Time: 20251217_131313
Total Updates: 1200
Total Samples: 36000

------------------------------------------------------------
Training Progress:
------------------------------------------------------------
Update 383: Return=-1487.38, Acceptance=96.67%, Samples=30
Update 384: Return=-1630.21, Acceptance=93.33%, Samples=30
Update 385: Return=-1718.03, Acceptance=93.33%, Samples=30
Update 386: Return=-2233.10, Acceptance=93.33%, Samples=30
Update 387: Return=-1310.68, Acceptance=93.33%, Samples=30
Update 388: Return=-3032.80, Acceptance=93.33%, Samples=30
Update 389: Return=-2219.78, Acceptance=96.67%, Samples=30
Update 390: Return=-1736.95, Acceptance=96.67%, Samples=30
Update 391: Return=-1413.25, Acceptance=93.33%, Samples=30
Update 392: Return=-2524.69, Acceptance=96.67%, Samples=30
Update 393: Return=-1078.71, Acceptance=93.33%, Samples=30
Update 394: Return=-1999.05, Acceptance=96.67%, Samples=30
Update 395: Return=-2402.12, Acceptance=93.33%, Samples=30
Update 396: Return=-2143.88, Acceptance=93.33%, Samples=30
Update 397: Return=-2850.31, Acceptance=93.33%, Samples=30
Update 398: Return=-2190.71, Acceptance=96.67%, Samples=30
Update 399: Return=-2091.74, Acceptance=96.67%, Samples=30
Update 400: Return=-1611.42, Acceptance=93.33%, Samples=30
Update 401: Return=-1438.66, Acceptance=93.33%, Samples=30
Update 402: Return=-2347.05, Acceptance=93.33%, Samples=30
Update 403: Return=-1581.78, Acceptance=93.33%, Samples=30
Update 404: Return=-921.60, Acceptance=96.67%, Samples=30
Update 405: Return=-1481.07, Acceptance=93.33%, Samples=30
Update 406: Return=-2079.00, Acceptance=96.67%, Samples=30
Update 407: Return=-2641.35, Acceptance=93.33%, Samples=30
Update 408: Return=-1417.67, Acceptance=96.67%, Samples=30
Update 409: Return=-2337.74, Acceptance=96.67%, Samples=30
Update 410: Return=-1845.66, Acceptance=93.33%, Samples=30
Update 411: Return=-1150.88, Acceptance=93.33%, Samples=30
Update 412: Return=-2549.26, Acceptance=93.33%, Samples=30
Update 413: Return=-2267.01, Acceptance=93.33%, Samples=30
Update 414: Return=-1649.89, Acceptance=93.33%, Samples=30
Update 415: Return=-1678.08, Acceptance=93.33%, Samples=30
Update 416: Return=-1800.72, Acceptance=96.67%, Samples=30
Update 417: Return=-1111.42, Acceptance=93.33%, Samples=30
Update 418: Return=-1490.96, Acceptance=93.33%, Samples=30
Update 419: Return=-2257.95, Acceptance=93.33%, Samples=30
Update 420: Return=-2068.92, Acceptance=93.33%, Samples=30
Update 421: Return=-1911.50, Acceptance=96.67%, Samples=30
Update 422: Return=-1823.18, Acceptance=93.33%, Samples=30
Update 423: Return=-1877.52, Acceptance=93.33%, Samples=30
Update 424: Return=-909.29, Acceptance=96.67%, Samples=30
Update 425: Return=-1740.01, Acceptance=93.33%, Samples=30
Update 426: Return=-1622.11, Acceptance=93.33%, Samples=30
Update 427: Return=-1572.73, Acceptance=93.33%, Samples=30
Update 428: Return=-1834.09, Acceptance=96.67%, Samples=30
Update 429: Return=-1883.55, Acceptance=96.67%, Samples=30
Update 430: Return=-1514.65, Acceptance=93.33%, Samples=30
Update 431: Return=-1632.62, Acceptance=96.67%, Samples=30
Update 432: Return=-989.62, Acceptance=96.67%, Samples=30
Update 433: Return=-1750.66, Acceptance=93.33%, Samples=30
Update 434: Return=-1568.76, Acceptance=93.33%, Samples=30
Update 435: Return=-1592.83, Acceptance=93.33%, Samples=30
Update 436: Return=-2453.64, Acceptance=93.33%, Samples=30
Update 437: Return=-2524.13, Acceptance=93.33%, Samples=30
Update 438: Return=-1202.86, Acceptance=93.33%, Samples=30
