============================================================
PPO Training Summary
============================================================

Training Time: 20251217_134109
Total Updates: 1200
Total Samples: 36000

------------------------------------------------------------
Training Progress:
------------------------------------------------------------
Update 361: Return=-1333.42, Acceptance=93.33%, Samples=30
Update 362: Return=-2239.72, Acceptance=93.33%, Samples=30
Update 363: Return=-1738.76, Acceptance=93.33%, Samples=30
Update 364: Return=-1579.85, Acceptance=93.33%, Samples=30
Update 365: Return=-1952.96, Acceptance=93.33%, Samples=30
Update 366: Return=-2176.83, Acceptance=93.33%, Samples=30
Update 367: Return=-1712.15, Acceptance=93.33%, Samples=30
Update 368: Return=-1709.56, Acceptance=93.33%, Samples=30
Update 369: Return=-1983.06, Acceptance=93.33%, Samples=30
Update 370: Return=-1560.84, Acceptance=93.33%, Samples=30
Update 371: Return=-1564.16, Acceptance=93.33%, Samples=30
Update 372: Return=-2034.00, Acceptance=93.33%, Samples=30
Update 373: Return=-1158.76, Acceptance=93.33%, Samples=30
Update 374: Return=-1666.74, Acceptance=96.67%, Samples=30
Update 375: Return=-2524.63, Acceptance=93.33%, Samples=30
Update 376: Return=-2887.92, Acceptance=93.33%, Samples=30
Update 377: Return=-1697.46, Acceptance=93.33%, Samples=30
Update 378: Return=-2342.55, Acceptance=93.33%, Samples=30
Update 379: Return=-1401.55, Acceptance=96.67%, Samples=30
Update 380: Return=-1366.28, Acceptance=93.33%, Samples=30
Update 381: Return=-1423.33, Acceptance=93.33%, Samples=30
Update 382: Return=-2196.45, Acceptance=93.33%, Samples=30
Update 383: Return=-1877.30, Acceptance=93.33%, Samples=30
Update 384: Return=-1452.00, Acceptance=96.67%, Samples=30
Update 385: Return=-1718.03, Acceptance=93.33%, Samples=30
Update 386: Return=-2129.06, Acceptance=93.33%, Samples=30
Update 387: Return=-1301.11, Acceptance=93.33%, Samples=30
Update 388: Return=-2225.71, Acceptance=93.33%, Samples=30
Update 389: Return=-2250.16, Acceptance=96.67%, Samples=30
Update 390: Return=-2132.22, Acceptance=96.67%, Samples=30
Update 391: Return=-1413.25, Acceptance=93.33%, Samples=30
Update 392: Return=-2524.69, Acceptance=96.67%, Samples=30
Update 393: Return=-1314.40, Acceptance=93.33%, Samples=30
Update 394: Return=-2141.27, Acceptance=93.33%, Samples=30
Update 395: Return=-2227.30, Acceptance=93.33%, Samples=30
Update 396: Return=-2143.88, Acceptance=93.33%, Samples=30
Update 397: Return=-2404.28, Acceptance=93.33%, Samples=30
Update 398: Return=-2237.23, Acceptance=93.33%, Samples=30
Update 399: Return=-2091.74, Acceptance=96.67%, Samples=30
Update 400: Return=-1637.09, Acceptance=93.33%, Samples=30
Update 401: Return=-1512.85, Acceptance=93.33%, Samples=30
Update 402: Return=-2074.55, Acceptance=93.33%, Samples=30
Update 403: Return=-1692.83, Acceptance=96.67%, Samples=30
Update 404: Return=-978.47, Acceptance=96.67%, Samples=30
Update 405: Return=-2278.72, Acceptance=93.33%, Samples=30
Update 406: Return=-1728.86, Acceptance=96.67%, Samples=30
Update 407: Return=-2641.35, Acceptance=93.33%, Samples=30
Update 408: Return=-1907.73, Acceptance=93.33%, Samples=30
Update 409: Return=-1994.69, Acceptance=96.67%, Samples=30
Update 410: Return=-1845.66, Acceptance=93.33%, Samples=30
Update 411: Return=-1044.53, Acceptance=96.67%, Samples=30
Update 412: Return=-2491.39, Acceptance=93.33%, Samples=30
Update 413: Return=-2267.01, Acceptance=93.33%, Samples=30
Update 414: Return=-1558.34, Acceptance=96.67%, Samples=30
Update 415: Return=-1673.73, Acceptance=93.33%, Samples=30
Update 416: Return=-2068.16, Acceptance=93.33%, Samples=30
Update 417: Return=-1522.03, Acceptance=93.33%, Samples=30
Update 418: Return=-1490.96, Acceptance=93.33%, Samples=30
Update 419: Return=-2257.95, Acceptance=93.33%, Samples=30
Update 420: Return=-2036.87, Acceptance=93.33%, Samples=30
Update 421: Return=-1911.50, Acceptance=96.67%, Samples=30
Update 422: Return=-1610.67, Acceptance=93.33%, Samples=30
Update 423: Return=-2275.34, Acceptance=93.33%, Samples=30
Update 424: Return=-1055.99, Acceptance=93.33%, Samples=30
Update 425: Return=-1676.91, Acceptance=93.33%, Samples=30
Update 426: Return=-1501.71, Acceptance=96.67%, Samples=30
Update 427: Return=-1391.78, Acceptance=96.67%, Samples=30
Update 428: Return=-2256.86, Acceptance=93.33%, Samples=30
Update 429: Return=-1976.08, Acceptance=93.33%, Samples=30
Update 430: Return=-1563.30, Acceptance=93.33%, Samples=30
Update 431: Return=-1383.98, Acceptance=96.67%, Samples=30
Update 432: Return=-989.62, Acceptance=96.67%, Samples=30
Update 433: Return=-1880.51, Acceptance=93.33%, Samples=30
Update 434: Return=-1472.88, Acceptance=93.33%, Samples=30
Update 435: Return=-2376.67, Acceptance=93.33%, Samples=30
Update 436: Return=-2453.64, Acceptance=93.33%, Samples=30
Update 437: Return=-2524.13, Acceptance=93.33%, Samples=30
Update 438: Return=-1202.86, Acceptance=93.33%, Samples=30
